trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.5, 'e': 0.9833021775801796}",20,0,-144.9946347581986,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
123,False,"{'a': 0.5, 'e': 0.9830281010261345}",25,0,-181.55354442031805,"{0: 11, 1: 1, 2: 9, 3: 3, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.9827518126592768}",25,0,-136.23611495592345,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.9824733131012553}",25,0,-159.92229609399172,"{0: 9, 1: 6, 2: 6, 3: 4, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.9821926029786937}",25,0,-104.59788950793305,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.9819096829231898}",20,0,-120.39499027675146,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.9816245535713135}",20,0,-98.83984404123962,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.981337215564606}",20,1,-9.824621108331558,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.9810476695495772}",25,0,-148.02640031872917,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.980755916177706}",20,11,-33.42074650067655,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.9804619561054371}",20,11,-38.9195876699454,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.9801657899941806}",20,0,-56.21643178278207,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.97986741851031}",20,0,-41.04776021631283,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.9795668423251612}",35,0,-129.27840914083117,"{0: 21, 1: 6, 2: 4, 3: 4, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.9792640621150305}",20,0,-16.564926353827456,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.9789590785611731}",20,0,-88.23111518826738,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.978651892349802}",25,0,-184.2398973722174,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
139,False,"{'a': 0.5, 'e': 0.9783425041720859}",20,0,-108.40872917117338,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.9780309147241483}",20,0,-131.4073342723376,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.9777171247070651}",25,0,-212.90056109307068,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
142,False,"{'a': 0.5, 'e': 0.9774011348268636}",20,0,-209.9531132303214,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 4}",0
143,False,"{'a': 0.5, 'e': 0.9770829457945213}",20,0,-28.113681197138536,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.9767625583259631}",20,0,-64.73335940874173,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.9764399731420608}",25,0,-104.70148131457421,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.9761151909686308}",20,0,-72.58306747190676,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.9757882125364329}",20,9,-2.4260621021398654,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
